"","label","latitude","longitude"
"1117","ATHEI",48.3,15.78
"1118","ATHEL",48.53,14.13
"1119","ATHEO",47.9,13.18
"1120","ATHER",48.27,15.68
"1121","ATHFL",47.6,14.73
"1122","ATHFN",47.57,10.45
"1123","ATHFS",46.75,12.45
"1124","ATHGB",48.33,16.4
"1125","ATHHG",47.33,10.17
"1126","ATHHN",48.07,14.45
"1127","ATHIA",48.13,16.93
"1128","ATHIG",47.7,15.82
"1129","ATHIH",48.77,15.02
"1130","ATHIM",48.02,14.75
"1131","ATHIR",47.02,14.92
"1132","ATHIT",47.28,11.52
"1133","ATHKM",48.45,15.72
"1134","ATHKN",48.35,14
"1135","ATHKR",48.05,16.13
"1136","ATHKZ",47.87,14.12
"1137","ATHLB",47.47,15.48
"1138","ATHLD",48.37,15.35
"1139","ATHLG",47.85,13.08
"1140","ATHLM",48.58,14.03
"1141","ATHLT",47.55,13.65
"1142","ATHLZ",47.03,15.32
"1143","ATHMD",48.43,16.4
"1144","ATHME",48.07,14.8
"1145","ATHMN",46.98,15.52
"1146","ATHNN",48.1,16.37
"1147","ATHNT",48.13,14.37
"1148","ATHOC",47.47,12.62
"1149","ATHOF",47.63,13.85
"1150","ATHOG",47.6,15.63
"1151","ATHOH",47.37,9.68
"1152","ATHOM",48.48,13.8
"1153","ATHON",48.47,16.65
"1154","ATHOP",47.45,12.17
"1155","ATHOR",48.65,15.65
"1156","ATHOT",47.58,16.55
"1157","ATHRH",48.23,14.18
"1158","ATHRM",47.78,16.47
"1159","ATHRS",48.7,16.12
"1160","ATHRT",47.18,15.92
"1161","ATHSE",47.87,16.43
"1162","ATHST",47.45,9.62
"1163","ATHTA",47.27,15.97
"1164","ATHTE",47.92,16.17
"1165","ATHTZ",47.03,15.25
"1166","ATHUT",47.42,13.3
"1167","ATHZD",48.43,15.73
"1168","ATHZF",48.77,15.65
"1169","ATHZL",46.98,16.25
"1170","ATICH",47.7,13.6
"1171","ATIEG",48.58,15.87
"1172","ATIIK",47.92,14.07
"1173","ATILL",47.77,16.8
"1174","ATILZ",47.08,15.92
"1175","ATIMS",47.23,10.73
"1176","ATINN",47.27,11.4
"1177","ATINZ",47.27,11.2
"1178","ATIST",47.22,9.67
"1179","ATITN",48.38,16.1
